    TIME_START     ,    TIME_END    ,    IMAGES     
,,DJI_0011.JPG
,,DJI_0012.JPG
,,DJI_0046.JPG
,,DJI_0047.JPG
,,DJI_0048.JPG
,,DJI_0049.JPG
,,DJI_0055.JPG
,,DJI_0056.JPG
,,DJI_0057.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0096.JPG
,,DJI_0097.JPG
,,DJI_0105.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0149.JPG
,,DJI_0158.JPG
,,DJI_0159.JPG
00:00:01:400,00:00:01:500
,,DJI_0010.JPG
,,DJI_0011.JPG
,,DJI_0012.JPG
,,DJI_0046.JPG
,,DJI_0047.JPG
,,DJI_0048.JPG
,,DJI_0049.JPG
,,DJI_0055.JPG
,,DJI_0056.JPG
,,DJI_0057.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0096.JPG
,,DJI_0097.JPG
,,DJI_0105.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0149.JPG
,,DJI_0158.JPG
,,DJI_0159.JPG
00:00:01:500,00:00:01:600
,,DJI_0010.JPG
,,DJI_0011.JPG
,,DJI_0012.JPG
,,DJI_0046.JPG
,,DJI_0047.JPG
,,DJI_0048.JPG
,,DJI_0049.JPG
,,DJI_0055.JPG
,,DJI_0056.JPG
,,DJI_0057.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0096.JPG
,,DJI_0097.JPG
,,DJI_0105.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0149.JPG
,,DJI_0158.JPG
,,DJI_0159.JPG
00:00:01:600,00:00:01:700
,,DJI_0010.JPG
,,DJI_0011.JPG
,,DJI_0012.JPG
,,DJI_0046.JPG
,,DJI_0047.JPG
,,DJI_0048.JPG
,,DJI_0049.JPG
,,DJI_0055.JPG
,,DJI_0056.JPG
,,DJI_0057.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0096.JPG
,,DJI_0097.JPG
,,DJI_0105.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0149.JPG
,,DJI_0158.JPG
